"制造商","车型"
"五菱汽车","五菱星驰"
"五菱汽车","五菱缤果"
"五菱汽车","五菱缤果PLUS"
"五菱汽车","五菱荣光"
"五菱汽车","星光560"
"五菱汽车","星光560 EV"
"五菱汽车","星光560 PHEV"
"五菱汽车","星光730"
"五菱汽车","星光730 EV"
"五菱汽车","星光730 PHEV"
"五菱汽车","缤果S"
"享界","享界S9"
"享界","享界S9T"
"仰望","仰望U7 EV"
"仰望","仰望U7 PHEV"
"仰望","仰望U8"
"仰望","仰望U8L"
"仰望","仰望U9"
"凌宝汽车","凌宝BOX"
"凌宝汽车","凌宝Uni"
"凯翼","拾月"
"凯翼","昆仑"
"凯翼","昆仑iHD"
"凯翼","炫界"
"凯翼","炫界Pro EV"
"凯迪拉克","IQ傲歌"
"凯迪拉克","IQ锐歌"
"凯迪拉克","凯迪拉克CT4"
"凯迪拉克","凯迪拉克CT5"
"凯迪拉克","凯迪拉克CT6"
"凯迪拉克","凯迪拉克GT4"
"凯迪拉克","凯迪拉克XT4"
"凯迪拉克","凯迪拉克XT5"
"凯迪拉克","凯迪拉克XT6"
"创维汽车","创维EV6"
"创维汽车","创维HT-i"
"别克","世纪"
"别克","别克GL8"
"别克","别克GL8 PHEV"
"别克","君威"
"别克","君越"
"别克","威朗"
"别克","微蓝6"
"别克","昂科威"
"别克","昂科旗"
"别克","至境L7"
"别克","至境世家"
"北京汽车","北京EU5"
"北京汽车","北京X7"
"北京汽车制造厂","元宝"
"北京汽车制造厂","勇士"
"北京汽车制造厂","北汽L6H"
"北京汽车制造厂","锐胜M8"
"北京汽车制造厂","锐胜M8新能源"
"北京汽车制造厂","锐胜王牌EM7"
"北京汽车制造厂","锐胜王牌M7"
"北京越野","北京越野BJ30"
"北京越野","北京越野BJ40"
"北京越野","北京越野BJ40增程"
"北京越野","北京越野BJ60"
"北京越野","北京越野BJ60增程"
"北京越野","北京越野BJ80"
"合创汽车","合创A06"
"合创汽车","合创V09"
"吉利几何","吉利几何A"
"吉利几何","吉利几何E萤火虫"
"吉利汽车","博越L"
"吉利汽车","吉利ICON"
"吉利汽车","帝豪"
"吉利汽车","星瑞"
"吉利汽车","星越L"
"吉利汽车","缤瑞"
"吉利汽车","缤越"
"吉利汽车","豪越L"
"吉利银河","星愿"
"吉利银河","熊猫"
"吉利银河","翼真L380"
"吉利银河","银河A7"
"吉利银河","银河E5"
"吉利银河","银河E8"
"吉利银河","银河L6"
"吉利银河","银河L7"
"吉利银河","银河M9"
"吉利银河","银河V900"
"吉利银河","银河星耀6"
"吉利银河","银河星耀8 PHEV"
"吉利银河","银河星舰7 EM-i"
"名爵","MG Cyberster"
"名爵","MG ES5"
"名爵","MG4"
"名爵","MG5"
"名爵","MG6"
"名爵","MG7"
"启辰","启辰D60"
"启辰","启辰D60 EV"
"启辰","启辰VX6"
"启辰","启辰大V"
"启辰","启辰大V DD-i"
"启辰","启辰星"
"哈弗","哈弗H5"
"哈弗","哈弗H6"
"哈弗","哈弗H9"
"哈弗","哈弗大狗"
"哈弗","哈弗大狗PLUS PHEV"
"哈弗","哈弗枭龙MAX"
"哈弗","哈弗猛龙PHEV"
"哈弗","哈弗猛龙燃油版"
"坦克","坦克300"
"坦克","坦克300 Hi4-T"
"坦克","坦克400"
"坦克","坦克400 Hi4-T"
"坦克","坦克500"
"坦克","坦克500 Hi4-T"
"坦克","坦克700 Hi4-T"
"埃安","AION LX"
"埃安","AION RT"
"埃安","AION S"
"埃安","AION UT"
"埃安","AION V"
"埃安","AION Y"
"埃安","AION i60"
"大众","ID.4 CROZZ"
"大众","ID.4 X"
"大众","ID.6 CROZZ"
"大众","ID.7 VIZZION"
"大众","凌渡"
"大众","大众CC"
"大众","大众ID.3"
"大众","威然"
"大众","宝来"
"大众","帕萨特"
"大众","帕萨特PHEV"
"大众","探岳"
"大众","探岳X"
"大众","探歌"
"大众","揽境"
"大众","揽巡"
"大众","朗逸"
"大众","迈腾"
"大众","途安L"
"大众","途岳"
"大众","途昂"
"大众","途观L"
"大众","途观L PHEV"
"大众","速腾"
"大众","高尔夫"
"大通","大家7 EV"
"大通","大家7超混"
"大通","大家9 EV"
"大通","大家9超混"
"大通","大通G10"
"大通","大通G50"
"大通","大通G50 PHEV"
"大通","大通G70"
"大通","大通G90"
"大通","领地"
"奇瑞","QQ冰淇淋"
"奇瑞","多米"
"奇瑞","小蚂蚁"
"奇瑞","瑞虎3x"
"奇瑞","瑞虎5x"
"奇瑞","瑞虎7"
"奇瑞","瑞虎8"
"奇瑞","瑞虎9"
"奇瑞","艾瑞泽5"
"奇瑞","艾瑞泽8"
"奇瑞风云","风云A8"
"奇瑞风云","风云A9L"
"奇瑞风云","风云T11"
"奇瑞风云","风云T8"
"奇瑞风云","风云T9"
"奇瑞风云","风云X3"
"奔腾","奔腾B70"
"奔腾","奔腾T90"
"奔腾","奔腾小马"
"奔腾","悦意03"
"奔腾","悦意07"
"奔驰","奔驰A级"
"奔驰","奔驰C级"
"奔驰","奔驰EQA"
"奔驰","奔驰EQB"
"奔驰","奔驰EQE"
"奔驰","奔驰EQE SUV"
"奔驰","奔驰E级"
"奔驰","奔驰GLA"
"奔驰","奔驰GLB"
"奔驰","奔驰GLC"
"奔驰","奔驰V级"
"奔驰","威霆"
"奥迪","奥迪A3"
"奥迪","奥迪A4L"
"奥迪","奥迪A5L"
"奥迪","奥迪A5L Sportback"
"奥迪","奥迪A6L"
"奥迪","奥迪A7L"
"奥迪","奥迪Q2L"
"奥迪","奥迪Q3"
"奥迪","奥迪Q3 Sportback"
"奥迪","奥迪Q4 e-tron"
"奥迪","奥迪Q5 e-tron"
"奥迪","奥迪Q5L"
"奥迪","奥迪Q5L Sportback"
"奥迪","奥迪Q6"
"奥迪","奥迪Q6L Sportback e-tron"
"奥迪","奥迪Q6L e-tron"
"奥迪AUDI","奥迪E5 Sportback"
"宝马","宝马3系"
"宝马","宝马5系"
"宝马","宝马X1"
"宝马","宝马X3"
"宝马","宝马X5"
"宝马","宝马i3"
"宝马","宝马i5"
"宝马","宝马iX1"
"宝马","宝马iX3"
"宝骏","宝骏KiWi EV"
"宝骏","宝骏云海EV"
"宝骏","宝骏云海PHEV"
"宝骏","宝骏享境EV"
"宝骏","宝骏享境PHEV"
"宝骏","悦也"
"宝骏","悦也Plus"
"尊界","尊界S800"
"小米汽车","小米SU7"
"小米汽车","小米YU7"
"小鹏汽车","小鹏G6"
"小鹏汽车","小鹏G7"
"小鹏汽车","小鹏G9"
"小鹏汽车","小鹏MONA M03"
"小鹏汽车","小鹏P7"
"小鹏汽车","小鹏P7+"
"小鹏汽车","小鹏X9"
"尚界","尚界H5"
"岚图","岚图FREE"
"岚图","岚图梦想家 EV"
"岚图","岚图梦想家 PHEV"
"岚图","岚图泰山"
"岚图","岚图知音"
"岚图","岚图追光 PHEV"
"广汽传祺","传祺E8 PHEV"
"广汽传祺","传祺E9 PHEV"
"广汽传祺","传祺ES9 PHEV"
"广汽传祺","传祺GS3"
"广汽传祺","传祺GS4"
"广汽传祺","传祺GS8"
"广汽传祺","传祺M6"
"广汽传祺","传祺M8"
"广汽传祺","传祺向往S7"
"广汽传祺","传祺向往S9"
"广汽传祺","影豹"
"广汽传祺","影酷"
"广汽昊铂","昊铂GT"
"广汽昊铂","昊铂HL"
"广汽昊铂","昊铂HT"
"广汽昊铂","昊铂SSR"
"开瑞","江豚"
"思皓","思皓花仙子"
"捷豹","捷豹E-PACE"
"捷豹","捷豹XEL"
"捷豹","捷豹XFL"
"捷达","捷达VA3"
"捷达","捷达VA7"
"捷达","捷达VS5"
"捷达","捷达VS7"
"捷达","捷达VS8"
"捷途","捷途X70"
"捷途","捷途大圣"
"捷途","捷途旅行者"
"捷途","捷途自由者"
"捷途山海","捷途山海L7 PLUS"
"捷途山海","捷途山海L9"
"捷途山海","捷途山海T1"
"捷途山海","捷途旅行者C-DM"
"捷途纵横","纵横G700"
"斯柯达","明锐"
"斯柯达","柯米克GT"
"斯柯达","柯迪亚克"
"斯柯达","速派"
"方程豹","豹5"
"方程豹","豹8"
"方程豹","钛3"
"方程豹","钛7"
"日产","ARIYA 艾睿雅"
"日产","天籁"
"日产","奇骏"
"日产","探陆"
"日产","日产N6"
"日产","日产N7"
"日产","轩逸"
"日产","逍客"
"日产","骐达TIIDA"
"星途","星纪元ES"
"星途","星纪元ET"
"星途","星途ET5"
"星途","星途凌云"
"星途","星途揽月"
"星途","星途揽月C-DM"
"星途","星途瑶光"
"星途","星途瑶光C-DM"
"星途","星途追风"
"星途","星途追风C-DM"
"智己汽车","智己L6"
"智己汽车","智己L7"
"智己汽车","智己LS6"
"智己汽车","智己LS7"
"智己汽车","智己LS9"
"智界","智界R7"
"智界","智界S7"
"曹操汽车","曹操60"
"本田","e:NP2 极湃2"
"本田","东风本田S7"
"本田","冠道"
"本田","型格"
"本田","奥德赛"
"本田","广汽本田P7"
"本田","思域"
"本田","本田CR-V"
"本田","本田CR-V PHEV"
"本田","本田HR-V"
"本田","本田LIFE"
"本田","本田UR-V"
"本田","本田XR-V"
"本田","本田e:NS1"
"本田","猎光e:NS2"
"本田","皓影"
"本田","皓影 PHEV"
"本田","缤智"
"本田","艾力绅"
"本田","英仕派"
"本田","英仕派 PHEV"
"本田","雅阁"
"本田","雅阁 PHEV"
"极氪","ZEEKR 001"
"极氪","ZEEKR 007"
"极氪","ZEEKR 009"
"极氪","ZEEKR 7X"
"极氪","ZEEKR 9X"
"极氪","ZEEKR MIX"
"极氪","ZEEKR X"
"林肯","冒险家"
"林肯","林肯Z"
"林肯","航海家"
"林肯","飞行家"
"标致","标致4008"
"标致","标致408"
"标致","标致408X"
"标致","标致5008"
"标致","标致508L"
"欧拉","欧拉5"
"欧拉","欧拉好猫"
"欧拉","欧拉芭蕾猫"
"欧拉","欧拉闪电猫"
"比亚迪","元PLUS"
"比亚迪","元UP"
"比亚迪","唐DM"
"比亚迪","唐L DM"
"比亚迪","唐L EV"
"比亚迪","夏"
"比亚迪","宋L DM"
"比亚迪","宋L EV"
"比亚迪","宋PLUS DM"
"比亚迪","宋PLUS EV"
"比亚迪","宋Pro DM"
"比亚迪","护卫舰07"
"比亚迪","比亚迪D1"
"比亚迪","比亚迪M9"
"比亚迪","比亚迪e2"
"比亚迪","比亚迪e3"
"比亚迪","比亚迪e7"
"比亚迪","汉DM"
"比亚迪","汉EV"
"比亚迪","汉L DM"
"比亚迪","汉L EV"
"比亚迪","海狮05DM"
"比亚迪","海狮05EV"
"比亚迪","海狮06DM"
"比亚迪","海狮06EV"
"比亚迪","海狮07DM"
"比亚迪","海狮07EV"
"比亚迪","海豚"
"比亚迪","海豹"
"比亚迪","海豹05DM"
"比亚迪","海豹06DM"
"比亚迪","海豹06DM旅行版"
"比亚迪","海豹06EV"
"比亚迪","海豹06GT"
"比亚迪","海豹07DM"
"比亚迪","海鸥"
"比亚迪","秦EV"
"比亚迪","秦L DM"
"比亚迪","秦L EV"
"比亚迪","秦PLUS DM"
"比亚迪","秦PLUS EV"
"比亚迪","驱逐舰05"
"江淮汽车","江淮QX PHEV"
"江淮汽车","江淮X8 E家"
"江淮瑞风","瑞风E3"
"江淮瑞风","瑞风M3"
"江淮瑞风","瑞风RF8"
"江淮瑞风","瑞风RF8 PHEV"
"江淮钇为","爱跑"
"江淮钇为","钇为3"
"沃尔沃","沃尔沃EM90"
"沃尔沃","沃尔沃EX30"
"沃尔沃","沃尔沃S60"
"沃尔沃","沃尔沃S90"
"沃尔沃","沃尔沃S90 PHEV"
"沃尔沃","沃尔沃XC40"
"沃尔沃","沃尔沃XC60"
"沃尔沃","沃尔沃XC60 PHEV"
"沃尔沃","沃尔沃XC70"
"海马","海马8S"
"深蓝汽车","深蓝G318"
"深蓝汽车","深蓝L06"
"深蓝汽车","深蓝L07"
"深蓝汽车","深蓝S05"
"深蓝汽车","深蓝S07"
"深蓝汽车","深蓝S09"
"深蓝汽车","深蓝SL03"
"灵悉","灵悉L"
"特斯拉","Model 3"
"特斯拉","Model Y"
"猛士","猛士917"
"猛士","猛士M817"
"现代","EO 羿欧"
"现代","伊兰特"
"现代","库斯途"
"现代","现代ix35"
"现代","索纳塔"
"现代","胜达"
"现代","途胜"
"理想汽车","理想L6"
"理想汽车","理想L7"
"理想汽车","理想L8"
"理想汽车","理想L9"
"理想汽车","理想MEGA"
"理想汽车","理想i6"
"理想汽车","理想i8"
"瑞驰","瑞驰EC75"
"睿蓝汽车","枫叶60s"
"睿蓝汽车","枫叶80v"
"睿蓝汽车","睿蓝7"
"睿蓝汽车","睿蓝8"
"睿蓝汽车","睿蓝X3 PRO"
"睿蓝汽车","蓝气球"
"知豆","知豆彩虹"
"示界","示界06"
"福特","探险者"
"福特","福特烈马"
"福特","蒙迪欧"
"福特","锐界"
"福特","锐际"
"福特","领睿"
"福特","领裕"
"红旗","红旗E-HS9"
"红旗","红旗E-QM5"
"红旗","红旗EH7"
"红旗","红旗H5"
"红旗","红旗H5 PHEV"
"红旗","红旗H6"
"红旗","红旗H9"
"红旗","红旗HQ9"
"红旗","红旗HQ9 PHEV"
"红旗","红旗HS3"
"红旗","红旗HS3 PHEV"
"红旗","红旗HS5"
"红旗","红旗HS6 PHEV"
"红旗","红旗HS7"
"红旗","红旗HS7 PHEV"
"红旗","红旗天工05"
"红旗","红旗天工06"
"红旗","红旗天工08"
"红旗","红旗金葵花国礼"
"红旗","红旗金葵花国耀"
"红旗","红旗金葵花国雅"
"腾势","腾势D9 DM"
"腾势","腾势D9 EV"
"腾势","腾势N7"
"腾势","腾势N8L DM"
"腾势","腾势N9 DM"
"腾势","腾势Z9 DM"
"腾势","腾势Z9 EV"
"腾势","腾势Z9GT DM"
"腾势","腾势Z9GT EV"
"英菲尼迪","英菲尼迪QX50"
"英菲尼迪","英菲尼迪QX60"
"荣威","荣威D5X DMH"
"荣威","荣威D6"
"荣威","荣威D7 DMH"
"荣威","荣威D7 EV"
"荣威","荣威Ei5"
"荣威","荣威M7 DMH"
"荣威","荣威RX5"
"荣威","荣威eRX5"
"荣威","荣威i5"
"荣威","荣威i6 MAX EV"
"荣威","荣威iMAX8"
"荣威","荣威iMAX8 DMH"
"荣威","荣威iMAX8 EV"
"蓝电","蓝电E5"
"蔚来","蔚来EC6"
"蔚来","蔚来EC7"
"蔚来","蔚来ES6"
"蔚来","蔚来ES8"
"蔚来","蔚来ET5"
"蔚来","蔚来ET5T"
"蔚来","蔚来ET7"
"蔚来","蔚来ET9"
"起亚","嘉华"
"起亚","奕跑"
"起亚","智跑"
"起亚","焕驰"
"起亚","狮铂拓界"
"起亚","索奈"
"起亚","赛图斯"
"起亚","起亚EV5"
"起亚","起亚K3"
"起亚","起亚K5"
"路虎","发现运动"
"路虎","揽胜极光"
"鑫源汽车","金海狮"
"长安","逸动"
"长安","逸达"
"长安","锐程PLUS"
"长安","长安CS35 PLUS"
"长安","长安CS55 PLUS"
"长安","长安CS75 PLUS"
"长安","长安UNI-K"
"长安","长安UNI-K 智电iDD"
"长安","长安UNI-T"
"长安","长安UNI-V"
"长安","长安UNI-V 智电iDD"
"长安","长安UNI-Z PHEV"
"长安","长安X5 PLUS"
"长安","长安X7 PLUS"
"长安凯程","欧诺S"
"长安凯程","长安之星9 EV"
"长安启源","长安Lumin"
"长安启源","长安启源A06"
"长安启源","长安启源A07"
"长安启源","长安启源E07"
"长安启源","长安启源Q05"
"长安启源","长安启源Q07"
"长安欧尚","奔奔E-Star"
"长安欧尚","长安欧尚520"
"长安欧尚","长安欧尚Z6"
"长安欧尚","长安欧尚Z6 iDD新能源"
"阿维塔","阿维塔 06"
"阿维塔","阿维塔 07"
"阿维塔","阿维塔 11"
"阿维塔","阿维塔 12"
"雪佛兰","探界者"
"雪佛兰","探界者Plus"
"雪佛兰","科鲁泽"
"雪佛兰","迈锐宝XL"
"雪佛兰","雪佛兰畅巡"
"雪铁龙","凡尔赛C5 X"
"雪铁龙","天逸 C5 AIRCROSS"
"零跑汽车","零跑B01"
"零跑汽车","零跑B10"
"零跑汽车","零跑C01"
"零跑汽车","零跑C10"
"零跑汽车","零跑C11"
"零跑汽车","零跑C16"
"零跑汽车","零跑Lafa5"
"零跑汽车","零跑T03"
"领克","领克01"
"领克","领克03"
"领克","领克05"
"领克","领克06"
"领克","领克06 EM-P"
"领克","领克07 EM-P"
"领克","领克08 EM-P"
"领克","领克09"
"领克","领克09 EM-P"
"领克","领克10 EM-P"
"领克","领克900"
"领克","领克Z10"
"领克","领克Z20"
"飞凡汽车","飞凡F7"
"飞凡汽车","飞凡R7"
"马自达","马自达3 昂克赛拉"
"马自达","马自达CX-30"
"马自达","马自达CX-5"
"马自达","马自达CX-50行也"
"马自达","马自达EZ-6"
"马自达","马自达EZ-60"
"魏牌","摩卡PHEV"
"魏牌","蓝山"
"魏牌","高山"
